generation,stage,architecture_clusters.cluster_sizes,architecture_clusters.diversity,architecture_clusters.num_clusters,architecture_clusters.silhouette,architecture_clusters.skipped,avg_adaptability_score,avg_energy_cost,avg_instability,avg_learning_speed,avg_meta_effectiveness,avg_novelty,avg_reward_after_learning,avg_reward_before_learning,avg_reward_delta,avg_stability,avg_success_rate,behavioral_probes.generation,behavioral_probes.individual_reports,behavioral_probes.num_genomes_probed,behavioral_probes.population_summary.archetype_distribution.cognitive_specialist,behavioral_probes.population_summary.archetype_distribution.generalist,behavioral_probes.population_summary.credit_assignment_max,behavioral_probes.population_summary.credit_assignment_mean,behavioral_probes.population_summary.credit_assignment_min,behavioral_probes.population_summary.credit_assignment_p95,behavioral_probes.population_summary.credit_assignment_std,behavioral_probes.population_summary.generalization_max,behavioral_probes.population_summary.generalization_mean,behavioral_probes.population_summary.generalization_min,behavioral_probes.population_summary.generalization_p95,behavioral_probes.population_summary.generalization_std,behavioral_probes.population_summary.learning_speed_max,behavioral_probes.population_summary.learning_speed_mean,behavioral_probes.population_summary.learning_speed_min,behavioral_probes.population_summary.learning_speed_p95,behavioral_probes.population_summary.learning_speed_std,behavioral_probes.population_summary.memory_capacity_max,behavioral_probes.population_summary.memory_capacity_mean,behavioral_probes.population_summary.memory_capacity_min,behavioral_probes.population_summary.memory_capacity_p95,behavioral_probes.population_summary.memory_capacity_std,behavioral_probes.population_summary.population_overall_mean,behavioral_probes.population_summary.population_overall_std,best_predator_fitness,best_prey_fitness,config.description,config.difficulty,config.food_count,config.food_reward,config.initial_learning_rate,config.max_steps,config.name,config.predator,config.step_penalty,config.wall_penalty,eval_time,max_plastic_norm,mean_plastic_norm,mean_predator_fitness,mean_prey_fitness,neural_health.dead_layers,neural_health.genomes_analyzed,neural_health.saturated_layers,p95_plastic_norm,predator_novelty.archive.avg_fitness,predator_novelty.archive.generations_covered,predator_novelty.archive.max_generation,predator_novelty.archive.min_generation,predator_novelty.archive.size,predator_novelty.max,predator_novelty.mean,predator_novelty.p95,predator_population_size,predator_species.avg_species_size,predator_species.empty_species_filtered,predator_species.num_species,predator_species.species_sizes,predator_species.total_members,prey_novelty.archive.avg_fitness,prey_novelty.archive.generations_covered,prey_novelty.archive.max_generation,prey_novelty.archive.min_generation,prey_novelty.archive.size,prey_novelty.max,prey_novelty.mean,prey_novelty.p95,prey_population_size,prey_species.avg_species_size,prey_species.empty_species_filtered,prey_species.num_species,prey_species.species_sizes,prey_species.total_members
0,FORAGING,87;47;46,159.99749755859375,3,0.6243575811386108,,0.12497430760451042,36.856850687662764,0.30807734407319687,0.0037948843358511417,0.3111610880851532,0.5817157550396408,0.25193539222380773,0.1744134458442594,0.07752194637954826,0.9243425820865655,0.5222222222222223,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.224266027889265,19.699642380794668,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,183.95291233062744,0.8865001201629639,0.11560995931606503,0.06894046609871991,2.097807163870309,0,180,39,0.7990140080451968,0.6637105744107064,1,0,0,5,0.0,0.0,0.0,80,80.0,0,1,80,80,1.7389448352802066,1,0,0,5,0.0,0.0,0.0,100,100.0,0,1,100,100
0,FORAGING,87;47;46,159.9956817626953,3,0.624358057975769,,0.09021177264580271,36.864355172051326,0.3097657174613378,0.000749530573698899,0.30892521808476286,0.602153153166221,0.12392451204000317,0.14931961273795694,-0.025395100697953775,0.9368758411788071,0.5444444444444444,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.2318571558909452,17.214649545184766,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,176.16613245010376,0.8865001201629639,0.10430457309055419,0.09851265849652871,1.5977770791515198,0,180,35,0.7229561835527422,0.016116074675677883,1,0,0,5,0.0,0.0,0.0,80,80.0,0,1,80,80,1.243000122532629,1,0,0,5,0.0,0.0,0.0,100,100.0,0,1,100,100
1,FORAGING,,0.0,0,0.0,True,0.10473775512534605,36.84417249891493,0.19540757480725807,0.0010372077978293723,0.3218532888122201,0.506787317949185,0.133401966615064,0.10254003292573452,0.030861933689329504,0.9397163284489655,0.5666666666666667,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,7.43120542169259,17.909862812768086,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,163.44187760353088,0.8805893063545227,0.06787862774018885,1.6376940622030745,3.205292249624122,2,180,34,0.2736770808696747,0.5086389695790052,2,1,0,10,1747.2198486328125,866.2437744140625,1587.8162841796875,80,80.0,0,1,80,80,3.0830027410055263,2,1,0,10,950.5579223632812,319.94989013671875,585.6292114257812,100,100.0,0,1,100,100
2,FORAGING,,0.0,0,0.0,True,0.11175773556655741,36.82755529615614,0.1864615004622573,0.00561764305522148,0.34004335112627226,0.4721469216924414,0.2134573182436312,0.1902898677409313,0.023167450502699936,0.9292200867284859,0.5833333333333334,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,6.958135350026584,19.818197192334235,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,157.93035006523132,0.8865000009536743,0.07830146773012445,1.4665016933214465,2.9603366457768576,1,180,35,0.32324271947145455,0.3644144523177795,3,2,0,15,1682.615478515625,979.8551635742188,1565.7664794921875,80,80.0,0,1,80,80,3.9830443375874354,3,2,0,15,840.0249633789062,575.4325561523438,718.3443603515625,100,100.0,0,1,100,100
3,FORAGING,,0.0,0,0.0,True,0.09161492848705935,36.8129664738973,0.17583912012682237,0.003809088229900226,0.3557284056565057,0.4169722446747326,0.1664714773717747,0.1642416878150575,0.0022297895567172173,0.9270273328509426,0.5166666666666667,3,,5,4,1,1.0,0.6986666666666667,0.0,0.9946666666666667,0.3642319163512293,10.337689883817031,8.36101207700158,0.45430084973977686,10.337689883817031,3.9533556136309014,0.03160532315572103,0.026733146111170454,0.01868152618408203,0.031426988045374554,0.004610130334377686,0.4479999997019768,0.23209999983608723,0.0954999999254942,0.4222999997168779,0.13599757342094249,0.7765426574679586,0.32882946392005324,5.657781706271466,10.2555114863644,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,105.8489317893982,0.8865000009536743,0.09655207703796133,0.9811463867284651,2.968638666971703,4,180,24,0.42667054086923606,0.4718945718426827,4,3,0,20,1457.671630859375,1257.599365234375,1457.55810546875,80,80.0,0,1,80,80,3.535367583735984,4,3,0,20,1031.5062255859375,739.7012329101562,919.891845703125,100,100.0,0,1,100,100
4,FORAGING,,0.0,0,0.0,True,0.09645374193211669,36.80891518063015,0.217866554948249,0.0014796139429866647,0.3706165735512692,0.4479110799542198,0.25655427525230656,0.287407737858868,-0.030853462606561414,0.924941092448096,0.5666666666666667,4,,5,4,1,0.8933333333333334,0.48533333333333334,0.0,0.8853333333333334,0.4027108143569031,10.337689883817031,8.38834895307489,0.5909852301063308,10.337689883817031,3.8986818614842806,0.036004483699798584,0.03144072719982692,0.026454401016235352,0.03553832599094936,0.0036276268610006776,0.4479999997019768,0.2746999998062849,0.2019999998509884,0.4222999997168779,0.0978731831930247,0.7649852511178614,0.31340047169196333,5.818779914189855,10.183187948858762,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,139.41809964179993,0.8865000009536743,0.11976577118157396,1.9074256914949743,2.5596544986654077,4,180,33,0.5662887841463089,1.0996025700388796,5,4,0,25,1056.55810546875,827.5105590820312,956.5526123046875,80,80.0,0,1,80,80,3.226596608369243,5,4,0,25,904.6205444335938,519.7317504882812,584.2684326171875,100,100.0,0,1,100,100
