generation,stage,architecture_clusters.cluster_sizes,architecture_clusters.diversity,architecture_clusters.num_clusters,architecture_clusters.silhouette,architecture_clusters.skipped,avg_adaptability_score,avg_energy_cost,avg_instability,avg_learning_speed,avg_meta_effectiveness,avg_novelty,avg_reward_after_learning,avg_reward_before_learning,avg_reward_delta,avg_reward_delta_raw,avg_stability,avg_success_rate,behavioral_probes.generation,behavioral_probes.individual_reports,behavioral_probes.num_genomes_probed,behavioral_probes.population_summary.archetype_distribution.cognitive_specialist,behavioral_probes.population_summary.archetype_distribution.generalist,behavioral_probes.population_summary.credit_assignment_max,behavioral_probes.population_summary.credit_assignment_mean,behavioral_probes.population_summary.credit_assignment_min,behavioral_probes.population_summary.credit_assignment_p95,behavioral_probes.population_summary.credit_assignment_std,behavioral_probes.population_summary.generalization_max,behavioral_probes.population_summary.generalization_mean,behavioral_probes.population_summary.generalization_min,behavioral_probes.population_summary.generalization_p95,behavioral_probes.population_summary.generalization_std,behavioral_probes.population_summary.learning_speed_max,behavioral_probes.population_summary.learning_speed_mean,behavioral_probes.population_summary.learning_speed_min,behavioral_probes.population_summary.learning_speed_p95,behavioral_probes.population_summary.learning_speed_std,behavioral_probes.population_summary.memory_capacity_max,behavioral_probes.population_summary.memory_capacity_mean,behavioral_probes.population_summary.memory_capacity_min,behavioral_probes.population_summary.memory_capacity_p95,behavioral_probes.population_summary.memory_capacity_std,behavioral_probes.population_summary.population_overall_mean,behavioral_probes.population_summary.population_overall_std,best_predator_fitness,best_prey_fitness,config.description,config.difficulty,config.food_count,config.food_reward,config.initial_learning_rate,config.max_steps,config.name,config.predator,config.predator_count,config.predator_speed,config.step_penalty,config.wall_penalty,eval_time,max_plastic_norm,max_plastic_weight_norm,mean_plastic_norm,mean_plastic_weight_norm,mean_predator_fitness,mean_prey_fitness,neural_health.dead_layers,neural_health.genomes_analyzed,neural_health.saturated_layers,p95_plastic_norm,p95_plastic_weight_norm,predator_novelty.archive.avg_fitness,predator_novelty.archive.generations_covered,predator_novelty.archive.max_generation,predator_novelty.archive.min_generation,predator_novelty.archive.size,predator_novelty.max,predator_novelty.mean,predator_novelty.p95,predator_population_size,predator_species.avg_species_size,predator_species.empty_species_filtered,predator_species.num_species,predator_species.species_sizes,predator_species.total_members,prey_novelty.archive.avg_fitness,prey_novelty.archive.generations_covered,prey_novelty.archive.max_generation,prey_novelty.archive.min_generation,prey_novelty.archive.size,prey_novelty.max,prey_novelty.mean,prey_novelty.p95,prey_population_size,prey_species.avg_species_size,prey_species.empty_species_filtered,prey_species.num_species,prey_species.species_sizes,prey_species.total_members
0,FORAGING,41;103;36,169.9665069580078,3,0.6907828450202942,,0.19542104410794753,0.0,0.1894922941968375,0.07168491359646749,0.47338865676694025,0.5981788432906239,0.47585887337368,0.2995296130138988,0.17632926035978114,-0.019242273591592234,0.9209874311486934,0.6777777777777778,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,7.201618128868283,8.668672476042115,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,,,0.0,0.0,177.97301483154297,0.6800586000406275,0.5849702018160267,0.08800358635377316,0.06250665883108196,1.1986986536408113,2.2939050206779994,0,180,50,0.32431664527787124,0.2918601204998272,0.5658095208052367,1,0,0,5,0.0,0.0,0.0,80,80.0,0,1,80,80,1.8996020871319446,1,0,0,5,0.0,0.0,0.0,100,100.0,0,1,100,100
1,FORAGING,,0.0,0,0.0,True,0.1535936532756716,0.0,0.13271227495269708,0.06639632836278204,0.5048532572926793,0.4239676696329872,0.5798983356037822,0.440559819399324,0.13933851620445822,-0.22416910618615776,0.9127851303926536,0.6555555555555556,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,6.78320251903145,8.056825331652819,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,,,0.0,0.0,145.90239429473877,0.5253753772847954,0.4962326247130372,0.05938545478417263,0.046436073335707616,0.9397546149836259,2.5725054356144126,6,180,35,0.19055155094466011,0.17023245323097363,0.1193944104260584,2,1,0,10,0.9024021029472351,0.5787366628646851,0.8019070625305176,80,10.0,0,8,,80,2.353713172023659,2,1,0,10,0.7620048522949219,0.4102039039134979,0.5416597127914429,100,100.0,0,1,100,100
2,FORAGING,,0.0,0,0.0,True,0.13200226842360677,0.0,0.16973321203385852,0.03912968246859272,0.4793550117519211,0.4688300661391035,0.39056805315683496,0.2743268691356443,0.11624118402119069,-0.10930483218495574,0.9194680714858393,0.6444444444444445,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.759900693939237,7.321747793547385,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,,,0.0,0.0,131.64271354675293,0.4647332081137124,0.4420415142602322,0.07476461345536689,0.05572632882782739,1.092833146468466,2.054925438809614,2,180,40,0.2592616479309838,0.23144178803190085,0.22841331719338728,3,2,0,15,0.679893970489502,0.5344770550727844,0.6410294771194458,80,8.88888888888889,0,9,,80,2.2707250516423496,3,2,0,15,0.6516807079315186,0.43296077847480774,0.5633017420768738,100,14.285714285714286,0,7,,100
