generation,stage,architecture_clusters.cluster_sizes,architecture_clusters.diversity,architecture_clusters.num_clusters,architecture_clusters.silhouette,architecture_clusters.skipped,avg_adaptability_score,avg_energy_cost,avg_instability,avg_learning_speed,avg_meta_effectiveness,avg_novelty,avg_reward_after_learning,avg_reward_before_learning,avg_reward_delta,avg_reward_delta_raw,avg_stability,avg_success_rate,behavioral_probes.generation,behavioral_probes.individual_reports,behavioral_probes.num_genomes_probed,behavioral_probes.population_summary.archetype_distribution.cognitive_specialist,behavioral_probes.population_summary.archetype_distribution.generalist,behavioral_probes.population_summary.credit_assignment_max,behavioral_probes.population_summary.credit_assignment_mean,behavioral_probes.population_summary.credit_assignment_min,behavioral_probes.population_summary.credit_assignment_p95,behavioral_probes.population_summary.credit_assignment_std,behavioral_probes.population_summary.generalization_max,behavioral_probes.population_summary.generalization_mean,behavioral_probes.population_summary.generalization_min,behavioral_probes.population_summary.generalization_p95,behavioral_probes.population_summary.generalization_std,behavioral_probes.population_summary.learning_speed_max,behavioral_probes.population_summary.learning_speed_mean,behavioral_probes.population_summary.learning_speed_min,behavioral_probes.population_summary.learning_speed_p95,behavioral_probes.population_summary.learning_speed_std,behavioral_probes.population_summary.memory_capacity_max,behavioral_probes.population_summary.memory_capacity_mean,behavioral_probes.population_summary.memory_capacity_min,behavioral_probes.population_summary.memory_capacity_p95,behavioral_probes.population_summary.memory_capacity_std,behavioral_probes.population_summary.population_overall_mean,behavioral_probes.population_summary.population_overall_std,best_predator_fitness,best_prey_fitness,config.description,config.difficulty,config.food_count,config.food_reward,config.initial_learning_rate,config.max_steps,config.name,config.predator,config.step_penalty,config.wall_penalty,eval_time,max_plastic_norm,max_plastic_weight_norm,mean_plastic_norm,mean_plastic_weight_norm,mean_predator_fitness,mean_prey_fitness,neural_health.dead_layers,neural_health.genomes_analyzed,neural_health.saturated_layers,p95_plastic_norm,p95_plastic_weight_norm,predator_novelty.archive.avg_fitness,predator_novelty.archive.generations_covered,predator_novelty.archive.max_generation,predator_novelty.archive.min_generation,predator_novelty.archive.size,predator_novelty.max,predator_novelty.mean,predator_novelty.p95,predator_population_size,predator_species.avg_species_size,predator_species.empty_species_filtered,predator_species.num_species,predator_species.species_sizes,predator_species.total_members,prey_novelty.archive.avg_fitness,prey_novelty.archive.generations_covered,prey_novelty.archive.max_generation,prey_novelty.archive.min_generation,prey_novelty.archive.size,prey_novelty.max,prey_novelty.mean,prey_novelty.p95,prey_population_size,prey_species.avg_species_size,prey_species.empty_species_filtered,prey_species.num_species,prey_species.species_sizes,prey_species.total_members
0,FORAGING,47;100;33,168.25416564941406,3,0.6584624648094177,,0.25388115748793066,0.0,0.2715337384602342,0.11129092742936963,0.4827894469087873,0.6272575261914766,0.5121221150618644,0.3170556218723206,0.19506649318954378,-0.09613113292567758,0.9208278049981701,0.7166666666666667,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,6.276190302960679,8.533832336602195,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,194.02479338645935,0.624870929257426,0.5581256340478213,0.0859054792741114,0.0515132069190167,1.3757926790601345,2.5423055162929855,0,180,54,0.2703521607248869,0.2115699272447319,1.4951981321748347,1,0,0,5,0.0,0.0,0.0,80,80.0,0,1,80,80,1.679672098914061,1,0,0,5,0.0,0.0,0.0,100,100.0,0,1,100,100
1,FORAGING,,0.0,0,0.0,True,0.19029790026442095,0.0,0.2367222290778665,0.10442458243858392,0.5236216901098882,0.4120845390309628,0.5799620306847966,0.439324190299729,0.14063784038506752,-0.05080592536608428,0.9262944830504074,0.6611111111111111,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,8.327789801856312,12.912707167532796,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,152.22877407073975,0.6869733079124408,0.5834886861030175,0.07253964047716017,0.04503025969161045,1.447869902392534,2.4899824562891903,4,180,32,0.25980319001480917,0.2022127506383968,1.7945628139157748,2,1,0,10,0.9222794771194458,0.4946292042732239,0.7704954147338867,80,80.0,0,1,80,80,1.810196443230161,2,1,0,10,0.744633138179779,0.5630238056182861,0.6646183729171753,100,100.0,0,1,100,100
2,FORAGING,,0.0,0,0.0,True,0.19164201441530576,0.0,0.21214917789971868,0.11560763783346817,0.5080065584468019,0.3883963051314285,0.2527448951362142,0.14520090985141734,0.10754398528479683,-0.003195889355181164,0.9322580209345553,0.6888888888888889,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,8.618439653032937,8.629681687318236,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,115.67634701728821,0.5650284258759962,0.5122524479396304,0.08567497129812861,0.053493083411765834,1.5723711062550394,2.4861280954077487,5,180,20,0.29960026596350064,0.2506914578752902,1.678444201848504,3,2,0,15,0.736080527305603,0.5266647338867188,0.6149652004241943,80,80.0,0,1,80,80,2.9401431833731673,3,2,0,15,0.7505186200141907,0.4968280792236328,0.601022481918335,100,100.0,0,1,100,100
3,FORAGING,,0.0,0,0.0,True,0.1728705792778102,0.0,0.24343760263004927,0.11673646206395728,0.5986920381239573,0.34560930168064197,0.6146203937437171,0.48101135472528844,0.13360903901842866,0.021127015650321577,0.9144366403908453,0.6611111111111111,3,,5,4,1,0.96,0.7623198763260828,0.6666666666666666,0.9196532096594161,0.1030840948092595,10.337689883817031,8.36101207700158,0.45430084973977686,10.337689883817031,3.9533556136309014,0.04945214589436849,0.01725929578145345,0.0,0.04281361897786458,0.01712333456319756,0.587499999627471,0.37529999974668027,0.2019999998509884,0.5595999996423722,0.13158594142240473,0.7929909374046498,0.32380441510366165,8.84936100723802,11.623870643593603,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,112.92381405830383,0.9594933784019609,0.719694960803007,0.08557418915874512,0.05259700505385042,1.7602054047551803,2.463175718175643,8,180,28,0.32183754983309715,0.2593203900911461,1.5650574544309217,4,3,0,20,0.7583789229393005,0.5720546841621399,0.7242602109909058,80,10.0,0,8,,80,3.2508593379854283,4,3,0,20,0.6509851217269897,0.4917502999305725,0.5619134306907654,100,100.0,0,1,100,100
4,FORAGING,,0.0,0,0.0,True,0.19708968227455878,0.0,0.25384995416502987,0.10416574387976887,0.5335436076892021,0.3449336598347568,0.3870426776648481,0.26187108319382946,0.12517159447101864,0.01415388102154169,0.9178264380100469,0.6888888888888889,4,,5,5,,0.9866666666666667,0.8743354886076254,0.7317540486252115,0.984,0.10763243818723925,10.337689883817031,8.548815809574242,1.3933195126030764,10.337689883817031,3.577748148485582,0.046051343282063804,0.019102636973063154,0.004986286163330078,0.040838495890299475,0.014292353150680247,0.4479999997019768,0.2511999998211861,0.2019999998509884,0.39879999973177904,0.09839999994039536,0.8077878279146763,0.29692790870089686,8.84242194203097,9.020434527923907,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,160.23504614830017,0.6281332314079866,0.5313117092533743,0.07945676516618107,0.04738710805995647,1.5723393244999182,2.7411513509386674,16,180,20,0.3023465267693546,0.21696999884699894,1.800905994602308,5,4,0,25,0.5638573169708252,0.4840974807739258,0.5397802591323853,80,5.0,0,16,,80,3.398605997255522,5,4,0,25,0.49880722165107727,0.39883288741111755,0.4317763149738312,100,100.0,0,1,100,100
5,FORAGING,90;30;60,197.9801025390625,3,0.631095290184021,,0.19512992155766212,0.0,0.23036382904889077,0.09177493097403754,0.5158919393065745,0.38427013991971914,0.5150498658380619,0.3498388757141863,0.16521099012387577,-0.10044864530956296,0.9255318242661812,0.6666666666666666,5,,5,4,1,0.9866666666666667,0.6862338651956481,0.0,0.968,0.352167281787753,10.337689883817031,8.407152583502784,0.6850033822457978,10.337689883817031,3.861074600628493,0.05850378672281901,0.026969935099283852,0.010378360748291016,0.05355723698933919,0.017643635251987068,0.3194999997764826,0.2724999998062849,0.2019999998509884,0.3194999997764826,0.05756300891890443,0.7827380319670001,0.3130559927743702,7.868240212467912,7.7307339039007585,Basic foraging with no penalties,1,20,10.0,0.01,80,FORAGING,False,0.0,0.0,164.03992700576782,0.780318157304719,0.725412104658461,0.0812661824415015,0.05078613294801684,1.4039989248127671,2.5631153415262578,14,180,18,0.32459935617478913,0.252992689416562,1.6433828171418496,6,5,0,30,0.5006534457206726,0.442758709192276,0.49742037057876587,80,8.0,0,10,,80,3.5616363511104354,6,5,0,30,0.41117939352989197,0.3626267611980438,0.3842598795890808,100,50.0,0,2,86;14,100
